N°;Referencia;Provincia;Distrito;Giro del inmueble;Tipo de calle/vía;Nombre de calle/vía;AASS
263;SBUX 56 REAL PLAZA HUANCAYO;HUANCAYO;HUANCAYO;RESTAURANTE\RESTAURANTE;Avenida;FERROCARRIL;Sheyda Florindez
264;SBUX 57 CASA WELSCH JR. DE LA UNION;LIMA;LIMA;RESTAURANTE\RESTAURANTE;Jiron;UNION;Gabriela Varias
265;SBUX 58 GREENBUILDING, SAN ISIDRO;LIMA;SAN ISIDRO;RESTAURANTE\RESTAURANTE;Calle;LAS ORQUIDEAS;Gabriela Varias
266;SBUX 59 CÁMARA DE COMERCIO DE LIMA;LIMA;JESUS MARIA;RESTAURANTE\RESTAURANTE;Avenida;GIUSEPPE GARIBALDI - ESQ. HUIRACOCHA N° 2199;Gabriela Varias
267;SBUX 60 REAL PLAZA PIURA;PIURA;PIURA;RESTAURANTE\RESTAURANTE;Avenida;SANCHEZ CERRO ;Sheyda Florindez
268;SBUX 61 CRONOS;LIMA;SANTIAGO DE SURCO;RESTAURANTE\RESTAURANTE;Avenida;EL DERBY;Gabriela Varias
269;SBUX 62 PRIMAVERA;LIMA;SANTIAGO DE SURCO;RESTAURANTE\RESTAURANTE;Avenida;PRIMAVERA;Gabriela Varias
270;SBUX 63 CENTRO CIVICO 2 MODULO;LIMA;LIMA;RESTAURANTE\RESTAURANTE;Avenida;INCA GARCILASO DE LA VEGA;Gabriela Varias
271;SBUX 64 DOS DE MAYO;LIMA;SAN ISIDRO;RESTAURANTE\RESTAURANTE;Avenida;DOS DE MAYO;Gabriela Varias
272;SBUX 65 PASEO LIBERTAD;LIMA;PUEBLO LIBRE;RESTAURANTE\RESTAURANTE;Jiron;PASEO LIBERTAD;Gabriela Varias
273;SBUX 66 AREQUIPA;LIMA;LIMA;RESTAURANTE\RESTAURANTE;Avenida;CABO TEODORO CÁRDENAS ;Gabriela Varias
274;SBUX 67 CC LA FONTANA;LIMA;LA MOLINA;RESTAURANTE\RESTAURANTE;Avenida;LA FONTANA ;Gabriela Varias
275;SBUX 68 CANAVAL Y MOREYRA;LIMA;SAN ISIDRO;RESTAURANTE\RESTAURANTE;Avenida;CANAVAL Y MOREYRA;Gabriela Varias
276;SBUX 69 EL QUINDE, ICA;ICA;ICA;RESTAURANTE\RESTAURANTE;Avenida;LOS MAESTROS ;Sheyda Florindez
277;SBUX 70 BREA Y PARIÑAS;LIMA;SANTIAGO DE SURCO;RESTAURANTE\RESTAURANTE;Avenida;CAMINOS DEL INCA;Gabriela Varias
